23.1674 	INFO 	Loaded monitor calibration from ['2025_08_14 09:29']
23.1871 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1920, 1080]. Using actual size
23.7453 	INFO 	Using renderer 'Intel(R) Iris(R) Xe Graphics' for graphics
23.7453 	INFO 	OpenGL version supported by driver is 4..
23.7626 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000021C9D0B49D0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000021C9D0B4940>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=True, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000021C9D103FD0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
23.7627 	EXP 	window1: backgroundImage = ''
23.7627 	EXP 	window1: backgroundFit = 'none'
24.1138 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
24.1138 	EXP 	window1: recordFrameIntervals = False
24.2541 	EXP 	window1: recordFrameIntervals = True
24.4376 	EXP 	Screen (0) actual frame rate measured at 60.06Hz
24.4376 	EXP 	window1: recordFrameIntervals = False
24.5109 	INFO 	keyboard.Keyboard is using ptb backend.
24.5111 	INFO 	keyboard.Keyboard is using ptb backend.
24.5111 	EXP 	PSY310_STROOP: status = STARTED
